idT,idM,idK,rmsX,rmsY,rmsZ,aRms,aPeakX,aPeakY,aPeakZ,aPeak,latitude,longitude,vreme,brzina,maxX,maxY,maxZ,opis
3958,96,13,0.1211,0.1338,0.2786,0.3319,0.0592,-0.2306,-1.0076,1.0354,43.8970916,20.3916699,2016-01-19-07-29-01,65.6907,-0.352512598,0.522828102,-1.007641315,its vezbe
3959,96,13,0.1255,0.1337,0.433,0.4702,0.2063,0.2682,2.297,2.3218,43.8981033,20.3933633,2016-01-19-07-29-11,63.6228,-0.428420603,0.37443614,2.296993256,its vezbe
3960,96,13,0.1033,0.1088,0.3384,0.3702,0.3527,-0.2595,1.3103,1.3815,43.898705,20.39438,2016-01-19-07-29-17,62.2126,0.352726817,0.340012908,-1.331270695,its vezbe
3961,96,13,0.1152,0.1305,0.3016,0.3483,0.1014,-0.4206,1.5978,1.6554,43.89967,20.3960116,2016-01-19-07-29-29,49.401,0.360434413,0.688085556,1.597847939,its vezbe
3962,96,13,0.0906,0.1069,0.2653,0.3,0.0731,-0.3683,-0.7482,0.8372,43.9010433,20.3975066,2016-01-19-07-29-42,58.6141,-0.286736727,0.419654965,-0.813793182,its vezbe
3963,96,13,0.0894,0.1117,0.2979,0.3304,-0.2086,-0.1366,-1.2714,1.2956,43.902555,20.3985683,2016-01-19-07-29-52,67.1175,-0.217682719,0.338887572,-1.271422863,its vezbe
3964,96,13,0.0889,0.1024,0.293,0.3229,0.2569,0.1397,1.4733,1.502,43.9037733,20.399425,2016-01-19-07-30-00,66.1966,0.256899357,-0.238801718,1.473295212,its vezbe
3965,96,13,0.0933,0.1101,0.3373,0.3668,-0.0555,-0.1299,-1.134,1.1428,43.904955,20.4003466,2016-01-19-07-30-08,65.4795,0.396697879,0.361142516,-1.134021759,its vezbe
3966,96,13,0.1241,0.1094,0.3144,0.3553,-0.6198,0.3223,-1.2309,1.4153,43.9069666,20.4017183,2016-01-19-07-30-22,58.8216,-0.619772315,0.417917728,-1.23086834,its vezbe
3967,96,13,0.1072,0.106,0.2247,0.2706,0.027,0.0064,-0.811,0.8114,43.9075233,20.4019216,2016-01-19-07-30-30,32.3793,0.470817685,0.480015516,-0.810964584,its vezbe
3968,96,13,0.1476,0.1261,0.3898,0.4355,0.0368,0.1135,1.3292,1.3346,43.9087533,20.4026866,2016-01-19-07-30-42,59.472,0.568662405,0.426671863,1.329240799,its vezbe
3969,96,13,0.1406,0.1342,0.4462,0.4866,0.2707,0.2405,-1.6915,1.7298,43.9098066,20.4040766,2016-01-19-07-30-52,57.871,-0.478613317,0.469815254,-1.691500664,its vezbe
3970,96,13,0.1047,0.1159,0.3882,0.4184,0.181,-0.0384,1.8589,1.8681,43.91051,20.40513,2016-01-19-07-30-59,58.1545,0.318997383,0.408206701,1.858940125,its vezbe
3971,96,13,0.1014,0.0899,0.2796,0.3107,0.1465,-0.0358,1.2631,1.2721,43.9115333,20.4065683,2016-01-19-07-31-09,56.724,-0.35771814,-0.258290827,1.263100624,its vezbe
3972,96,13,0.0878,0.0881,0.1884,0.2257,-0.0907,0.2361,-0.7706,0.8111,43.9119799,20.40789,2016-01-19-07-31-19,31.0044,0.250542283,0.236114725,-0.770611763,its vezbe
3973,96,13,0.0869,0.136,0.3297,0.367,-0.0818,0.0224,-1.1795,1.1826,43.9131466,20.4077333,2016-01-19-07-31-33,44.5702,0.249675751,-0.476767153,-1.179546356,its vezbe
3974,96,13,0.0943,0.1128,0.2353,0.2775,0.0744,-0.0177,0.678,0.6823,43.9142916,20.4076216,2016-01-19-07-31-43,50.0755,0.275261641,-0.372602046,0.677964211,its vezbe
3975,96,13,0.1177,0.1249,0.4014,0.4366,0.1467,-0.0099,1.2452,1.2538,43.91576,20.4076283,2016-01-19-07-31-53,63.0298,-0.314084291,0.351647377,1.245183945,its vezbe
3976,96,13,0.1219,0.1266,0.3307,0.3746,-0.1858,0.2046,-1.1979,1.2293,43.9170633,20.4077666,2016-01-19-07-32-01,65.9687,-0.309711576,0.315592527,-1.197872639,its vezbe
3977,96,13,0.1224,0.1359,0.3538,0.3983,-0.227,-0.3257,-1.1366,1.204,43.9191633,20.40826,2016-01-19-07-32-13,69.1632,-0.353702366,-0.686957479,-1.136641502,its vezbe
3978,96,13,0.1158,0.1186,0.3962,0.4295,-0.2333,-0.1328,-1.3082,1.3354,43.9201116,20.4083666,2016-01-19-07-32-19,68.9242,-0.297862887,-0.362450123,-1.308156967,its vezbe
3979,96,13,0.1026,0.1095,0.2704,0.3092,0.1613,0.089,0.8088,0.8295,43.9216766,20.4089266,2016-01-19-07-32-28,72.821,0.317932606,0.359530091,0.808776855,its vezbe
3980,96,13,0.1287,0.1369,0.34,0.3885,0.0862,0.2927,-0.8439,0.8974,43.9236366,20.4093533,2016-01-19-07-32-39,68.3664,-0.468856484,-0.437462837,-0.843899727,its vezbe
3981,96,13,0.1286,0.1289,0.3252,0.3727,0.1656,-0.4093,-1.1715,1.2519,43.9255333,20.4097016,2016-01-19-07-32-50,68.7222,-0.622461736,-0.480625391,-1.171468258,its vezbe
3982,96,13,0.1395,0.1677,0.3076,0.3771,0.0351,-0.2268,1.088,1.1119,43.9273416,20.4099983,2016-01-19-07-33-00,69.5968,-0.456148982,0.679179668,1.08796978,its vezbe
3983,96,13,0.1189,0.1215,0.3185,0.3611,-0.0519,0.0874,-1.1454,1.1499,43.92949,20.410505,2016-01-19-07-33-12,69.8433,-0.577705145,0.597093344,-1.145431519,its vezbe
3984,96,13,0.1119,0.1236,0.2787,0.3247,0.041,-0.01,0.7252,0.7264,43.9305416,20.410765,2016-01-19-07-33-18,71.2738,0.308716536,0.414629459,0.725194931,its vezbe
3985,96,13,0.1195,0.1222,0.407,0.4414,0.123,-0.0283,1.7467,1.7513,43.9326066,20.4111533,2016-01-19-07-33-30,72.128,-0.405544162,0.455754161,1.746724129,its vezbe
3986,96,13,0.1345,0.1508,0.5551,0.5907,-0.1437,0.1512,-2.3638,2.373,43.9348233,20.411725,2016-01-19-07-33-43,71.3535,0.503282428,0.426767111,-2.363780499,its vezbe
3987,96,13,0.114,0.1375,0.3224,0.3685,-0.1489,-0.1843,-0.8991,0.9298,43.93555,20.411865,2016-01-19-07-33-47,70.8661,-0.334193945,0.533867955,-0.899067879,its vezbe
3988,96,13,0.1002,0.1045,0.3145,0.3462,-0.1919,-0.0726,-0.9283,0.9508,43.9374983,20.4122433,2016-01-19-07-33-59,26.346,0.305921316,0.289167762,-0.928341866,its vezbe
3989,96,13,0.1215,0.1256,0.3214,0.3658,0.3082,-0.1873,1.6878,1.7259,43.9395049,20.41285,2016-01-19-07-34-10,71.1793,0.419407845,0.547390461,1.687777519,its vezbe
3990,96,13,0.1086,0.1209,0.268,0.3134,0.0229,-0.2021,0.9466,0.9682,43.94193,20.4133766,2016-01-19-07-34-23,78.3652,-0.319885135,-0.452169746,0.949436188,its vezbe
